semana_muerte,no_vac,una_vac,dos_vac,tres_vac,total_muertos_semana,No vacunado (%),1 vacuna (%),2 vacunas (%),3 vacunas (%)
2021|06,2000,6,5,2,2013,0.9935419771485345,0.0029806259314456036,0.0024838549428713363,9.935419771485345e-4
2021|07,4847,12,8,8,4875,0.9942564102564102,0.0024615384615384616,0.001641025641025641,0.001641025641025641
2021|08,4753,8,8,14,4783,0.9937277859084257,0.00167259042441982,0.00167259042441982,0.0029270332427346855
2021|09,4757,18,9,15,4799,0.9912481767034799,0.003750781412794332,0.001875390706397166,0.0031256511773286103
2021|10,4426,39,7,11,4483,0.9872853000223065,0.008699531563685033,0.0015614543832255187,0.002453714030782958
2021|11,4520,42,9,4,4575,0.9879781420765027,0.009180327868852459,0.0019672131147540984,8.743169398907104e-4
2021|12,4608,49,9,9,4675,0.985668449197861,0.010481283422459893,0.0019251336898395723,0.0019251336898395723
2021|13,4912,105,17,11,5045,0.9736372646184341,0.02081268582755203,0.0033696729435084244,0.002180376610505451
2021|14,5116,142,16,10,5284,0.9682059046177138,0.026873580620741862,0.003028009084027252,0.0018925056775170325
2021|15,5423,131,32,12,5598,0.9687388352983208,0.023401214719542693,0.0057163272597356195,0.0021436227224008574
2021|16,5514,120,52,5,5691,0.9688982604111755,0.021085925144965736,0.009137234229485152,8.785802143735723e-4
2021|17,5200,97,54,7,5358,0.9705113848450915,0.018103770063456513,0.010078387458006719,0.0013064576334453153
2021|18,4642,169,55,9,4875,0.9522051282051283,0.034666666666666665,0.011282051282051283,0.0018461538461538461
2021|19,3932,261,61,7,4261,0.9227880779159822,0.061253226942032384,0.014315888289134006,0.0016428068528514432
2021|20,3203,373,51,7,3634,0.8813979086406164,0.10264171711612548,0.01403412217941662,0.001926252063841497
2021|21,2623,466,65,6,3160,0.8300632911392405,0.14746835443037976,0.020569620253164556,0.0018987341772151898
2021|22,2196,531,94,1,2822,0.7781715095676824,0.18816442239546421,0.03330970942593905,3.5435861091424523e-4
2021|23,1692,404,110,3,2209,0.7659574468085106,0.18288818469895882,0.04979628791308284,0.001358080579447714
2021|24,1324,352,107,6,1789,0.7400782560089435,0.19675796534376747,0.05980994969256568,0.003353828954723309
2021|25,1095,282,131,5,1513,0.7237276933245208,0.18638466622604097,0.08658294778585592,0.003304692663582287
2021|26,905,239,145,0,1289,0.7020946470131885,0.18541505042668735,0.11249030256012413,0
2021|27,721,167,131,2,1021,0.7061704211557297,0.16356513222331048,0.12830558276199805,0.0019588638589618022
2021|28,603,89,135,2,829,0.7273823884197829,0.10735826296743065,0.16284680337756333,0.0024125452352231603
2021|29,431,90,118,0,639,0.6744913928012519,0.14084507042253522,0.18466353677621283,0
2021|30,388,80,114,0,582,0.6666666666666666,0.13745704467353953,0.1958762886597938,0
2021|31,295,68,116,0,479,0.615866388308977,0.1419624217118998,0.24217118997912318,0
2021|32,262,65,113,0,440,0.5954545454545455,0.14772727272727273,0.25681818181818183,0
2021|33,223,52,129,2,406,0.5492610837438424,0.12807881773399016,0.31773399014778325,0.0049261083743842365
2021|34,185,44,114,0,343,0.5393586005830904,0.1282798833819242,0.3323615160349854,0
2021|35,139,32,106,1,278,0.5,0.11510791366906475,0.381294964028777,0.0035971223021582736
2021|36,114,29,115,0,258,0.4418604651162791,0.1124031007751938,0.44573643410852715,0
2021|37,120,23,108,1,252,0.47619047619047616,0.09126984126984126,0.42857142857142855,0.003968253968253968
2021|38,99,31,91,0,221,0.4479638009049774,0.14027149321266968,0.4117647058823529,0
2021|39,87,24,92,0,203,0.42857142857142855,0.11822660098522167,0.45320197044334976,0
2021|40,98,21,98,0,217,0.45161290322580644,0.0967741935483871,0.45161290322580644,0
2021|41,59,21,103,0,183,0.3224043715846995,0.11475409836065574,0.5628415300546448,0
2021|42,89,10,114,0,213,0.41784037558685444,0.046948356807511735,0.5352112676056338,0
2021|43,78,19,114,1,212,0.36792452830188677,0.08962264150943396,0.5377358490566038,0.0047169811320754715
2021|44,64,19,110,0,193,0.3316062176165803,0.09844559585492228,0.5699481865284974,0
2021|45,75,21,117,1,214,0.35046728971962615,0.09813084112149532,0.5467289719626168,0.004672897196261682
2021|46,91,14,134,0,239,0.3807531380753138,0.058577405857740586,0.5606694560669456,0
2021|47,89,12,137,8,246,0.3617886178861789,0.04878048780487805,0.556910569105691,0.032520325203252036
2021|48,81,11,154,6,252,0.32142857142857145,0.04365079365079365,0.6111111111111112,0.023809523809523808
2021|49,104,12,143,8,267,0.3895131086142322,0.0449438202247191,0.5355805243445693,0.0299625468164794
2021|50,103,17,139,15,274,0.3759124087591241,0.06204379562043796,0.5072992700729927,0.05474452554744526
2021|51,98,14,122,15,249,0.39357429718875503,0.05622489959839357,0.4899598393574297,0.060240963855421686
2021|52,91,24,114,28,257,0.3540856031128405,0.0933852140077821,0.44357976653696496,0.10894941634241245
2021|53,14,3,16,3,36,0.3888888888888889,0.08333333333333333,0.4444444444444444,0.08333333333333333
2022|01,95,31,140,35,301,0.31561461794019935,0.10299003322259136,0.46511627906976744,0.11627906976744186
2022|02,108,30,193,75,406,0.2660098522167488,0.07389162561576355,0.4753694581280788,0.18472906403940886
2022|03,244,47,413,143,847,0.28807556080283353,0.05548996458087367,0.48760330578512395,0.16883116883116883
2022|04,363,94,565,231,1253,0.2897047086991221,0.07501995211492418,0.4509177972865124,0.18435754189944134
2022|05,422,94,616,247,1379,0.3060188542422045,0.0681653372008702,0.4467005076142132,0.1791153009427121
2022|06,14,2,27,13,56,0.25,0.03571428571428571,0.48214285714285715,0.23214285714285715
